List Price,Address,,,City,Tax ID,,,,,,,,,,Yr Built,,,,,,,,,SF Total,SF Up+Mn,SF Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O/Price,Close Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524900,3167 N FARRAGUT ST,,,Portland,R303553,,,,,,,,,,1927,,,,,,,,,1526,882,floorplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524900,580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408000,6884 N HUDSON ST,,,Portland,R179685,,,,,,,,,,1979,,,,,,,,,1134,1134,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505000,395000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223000,9221 N LOMBARD ST,,,Portland,R579208,,,,,,,,,,1963,,,,,,,,,704,704,TRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415000,8325 N BLISS ST,,,Portland,R499857,,,,,,,,,,2003,,,,,,,,,944,944,assessor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415000,415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425000,7466 N NEWMAN AVE,,,Portland,R220077,,,,,,,,,,1948,,,,,,,,,1104,1104,Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,475000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389900,8102 N DANA AVE,,,Portland,R292569,,,,,,,,,,1950,,,,,,,,,848,848,Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399900,381000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449900,8971 N DRUMMOND AVE,,,Portland,R709979,,,,,,,,,,2022,,,,,,,,,1594,1594,BUILDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549950,450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415000,9128 N HUDSON ST,,,Portland,R539707,,,,,,,,,,2006,,,,,,,,,1545,1545,Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495000,418000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499950,8981 N DRUMMOND AVE,,,Portland,R709978,,,,,,,,,,2022,,,,,,,,,1594,1594,Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499950,490000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465000,8514 N DANA AVE,,,Portland,R292530,,,,,,,,,,1956,,,,,,,,,1429,1429,Floorplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465000,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399000,9525 N HODGE AVE,,,Portland,R137473,,,,,,,,,,1953,,,,,,,,,706,706,Tax Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775000,7313 N WASHBURNE AVE,,,Portland,R219878,,,,,,,,,,1941,,,,,,,,,3452,2061,Floor Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775000,780000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450000,9436 N RICHMOND AVE,,,Portland,R245232,,,,,,,,,,1919,,,,,,,,,1123,823,TRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450000,464000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480000,6917 N MACRUM AVE,,,Portland,R307587,,,,,,,,,,1907,,,,,,,,,1814,1814,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545000,451200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279000,9465 N ALMA AVE,,,Portland,R151575,,,,,,,,,,1918,,,,,,,,,1112,1112,Tax Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359000,275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350000,10002 N WILLAMETTE BLVD,,,Portland,R227224,,,,,,,,,,1953,,,,,,,,,728,728,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,325000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430000,9208 N WALL AVE,,,Portland,R238522,,,,,,,,,,1995,,,,,,,,,1390,1390,TRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489900,420000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465000,8260 N FISKE AVE,,,Portland,R167739,,,,,,,,,,1914,,,,,,,,,1697,897,Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465000,465850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499000,4409 N HOUGHTON ST,,,Portland,R547719,,,,,,,,,,2006,,,,,,,,,2054,2054,plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,510000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
